customer_id,first_name,last_name,email,street,city,state,local,zip_code,Extraction_Date_Time,Source
1,Debra,Burks,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,False,14127,2024-05-03 23:35:20.819551,DL
2,Kasha,Todd,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,False,95008,2024-05-03 23:35:20.819551,DL
3,Tameka,Fisher,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,False,90278,2024-05-03 23:35:20.819551,DL
4,Daryl,Spence,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,False,11553,2024-05-03 23:35:20.819551,DL
5,Charolette,Rice,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,False,95820,2024-05-03 23:35:20.819551,DL
6,Lyndsey,Bean,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,False,14450,2024-05-03 23:35:20.819551,DL
7,Latasha,Hays,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,False,14215,2024-05-03 23:35:20.819551,DL
8,Jacquline,Duncan,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,False,11372,2024-05-03 23:35:20.819551,DL
9,Genoveva,Baldwin,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,False,11050,2024-05-03 23:35:20.819551,DL
10,Pamelia,Newman,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,False,10950,2024-05-03 23:35:20.819551,DL
11,Deshawn,Mendoza,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,False,10952,2024-05-03 23:35:20.819551,DL
12,Robby,Sykes,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,False,11550,2024-05-03 23:35:20.819551,DL
13,Lashawn,Ortiz,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,False,75604,2024-05-03 23:35:20.819551,DL
